lat,lon,name,type
24.0116194,90.2501433,RAdio SW Tower,telecom_towers
24.9043756,91.8610596,Betar,telecom_towers
24.2870152,91.7070851,Proxy Telecom_towers,telecom_towers
25.091048,89.783413,Proxy Telecom_towers,telecom_towers
25.073171,89.800863,Proxy Telecom_towers,telecom_towers
24.721552,89.942818,Proxy Telecom_towers,telecom_towers
24.712989,89.944863,Proxy Telecom_towers,telecom_towers
24.552017,89.994041,Proxy Telecom_towers,telecom_towers
24.446076,89.981345,Proxy Telecom_towers,telecom_towers
24.132007,90.042159,Proxy Telecom_towers,telecom_towers
24.05611,90.22566,Proxy Telecom_towers,telecom_towers
24.7402055,89.8230844,Proxy Telecom_towers,telecom_towers
24.0577702,91.16222,BanglaLink,telecom_towers
24.0529677,91.1750238,Grameenphone Tower,telecom_towers
24.0546743,91.1748822,Teletalk Tower,telecom_towers
24.0591496,91.1872139,Aktel Tower,telecom_towers
24.0743533,91.2136498,Warid/Airtel Tower,telecom_towers
26.3234346,94.5210096,Clock Tower,telecom_towers
27.8139084,91.8537338,Proxy Telecom_towers,telecom_towers
27.9861423,91.9328456,Proxy Telecom_towers,telecom_towers
28.0096051,91.9614214,Proxy Telecom_towers,telecom_towers
27.9959363,91.9647662,Proxy Telecom_towers,telecom_towers
27.9963411,91.963688,Proxy Telecom_towers,telecom_towers
27.9965142,91.9551323,Proxy Telecom_towers,telecom_towers
26.5007592,91.1473979,Proxy Telecom_towers,telecom_towers
24.0412564,91.0033497,Proxy Telecom_towers,telecom_towers
24.0648175,93.5691664,Proxy Telecom_towers,telecom_towers
27.4844383,89.6238622,BBS Tower,telecom_towers
25.0018628,96.3616393,Proxy Telecom_towers,telecom_towers
26.7591198,94.1829647,Proxy Telecom_towers,telecom_towers
24.145131,90.6999633,Proxy Telecom_towers,telecom_towers
26.2498703,91.5832074,Proxy Telecom_towers,telecom_towers
27.4673468,89.640544,Telephone tower,telecom_towers
26.7685543,94.3729666,Proxy Telecom_towers,telecom_towers
27.2865346,91.5240071,Clock tower,telecom_towers
27.4458972,89.6605505,Yiga Radio 94.7 FM,telecom_towers
27.3682068,94.8958927,Proxy Telecom_towers,telecom_towers
27.4777155,94.9275696,Proxy Telecom_towers,telecom_towers
25.2840606,91.7166205,Doordarshan Tower,telecom_towers
25.2871543,91.9026326,Proxy Telecom_towers,telecom_towers
26.4473096,89.9880159,Proxy Telecom_towers,telecom_towers
26.4363054,89.9764931,Proxy Telecom_towers,telecom_towers
26.4480673,89.9246742,Proxy Telecom_towers,telecom_towers
26.4454003,89.8837279,Proxy Telecom_towers,telecom_towers
24.9154435,92.8367163,Proxy Telecom_towers,telecom_towers
24.90889,92.8351285,Proxy Telecom_towers,telecom_towers
25.0704652,89.7477838,Proxy Telecom_towers,telecom_towers
24.0317811,90.9937013,Proxy Telecom_towers,telecom_towers
24.0321908,90.9950768,Proxy Telecom_towers,telecom_towers
24.0310307,90.9881261,Proxy Telecom_towers,telecom_towers
24.0375403,90.9919618,Proxy Telecom_towers,telecom_towers
24.0388487,90.9935153,Proxy Telecom_towers,telecom_towers
24.9158729,91.800463,Proxy Telecom_towers,telecom_towers
25.2479,90.0450284,Proxy Telecom_towers,telecom_towers
25.5304712,91.848958,Proxy Telecom_towers,telecom_towers
25.5304712,91.8493684,Proxy Telecom_towers,telecom_towers
25.5306878,91.8494086,Proxy Telecom_towers,telecom_towers
24.7450945,90.3858867,Proxy Telecom_towers,telecom_towers
24.3845723,93.4398276,Proxy Telecom_towers,telecom_towers
24.41728,93.9305748,Proxy Telecom_towers,telecom_towers
24.5172932,93.9408222,Proxy Telecom_towers,telecom_towers
24.5191137,93.9426514,Proxy Telecom_towers,telecom_towers
24.5200361,93.9423403,Proxy Telecom_towers,telecom_towers
24.4944615,93.9924037,Proxy Telecom_towers,telecom_towers
24.4182588,90.6519344,Banglalink Tower,telecom_towers
24.3934372,90.6965335,Proxy Telecom_towers,telecom_towers
24.3922231,90.698458,Proxy Telecom_towers,telecom_towers
24.3920191,90.6987691,Proxy Telecom_towers,telecom_towers
24.4138937,90.7172589,Proxy Telecom_towers,telecom_towers
24.4139572,90.6551966,Proxy Telecom_towers,telecom_towers
24.4527557,90.7051313,Proxy Telecom_towers,telecom_towers
25.5745079,89.8212898,Mobile Tower,telecom_towers
24.6313823,90.6129786,Grameenphone Tower,telecom_towers
27.387463,95.156457,Proxy Telecom_towers,telecom_towers
27.363996,95.2875862,Proxy Telecom_towers,telecom_towers
